,brand,model,price,Spec-score,Rating,Network,processor,memory_card,android_version,Foldable,display_size,Resolution,Frame Rate,RAM,Memory,Rear Camera,Front Camera,Battery,Fast charge
0,OnePlus,Nord CE 5 5G,24998,83,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350 Apex, Octa Core, 3.35 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 16 MP Front Camera,7.1e+03, 80W Fast Charging
1,Ai+,Nova 5G,7999,67,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T8200, Octa Core Processor","Memory Card Supported, upto 1 TB",Android v15,No,6.75, 720 x 1600 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP Dual Rear , 5 MP Front Camera,5e+03, 18W Fast Charging
2,Motorola,Moto G96 5G,17999,80,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v15,No,6.67, 1080 x 2400 px, 144 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,5.5e+03, 33W Fast Charging
3,Ai+,Pulse,4999,68,4.45,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T615, Octa Core, 1.8 GHz Processor","Memory Card Supported, upto 1 TB",Android v15,No,6.75, 720 x 1600 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 64 GB inbuilt,50 MP Rear , 5 MP Front Camera,5e+03, 10W Fast Charging
4,OnePlus,Nord 5 5G,31999,84,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v15,No,6.83, 1272 x 2800 px, 144 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 50 MP Front Camera,6.8e+03, 80W Fast Charging
5,OPPO,Reno 14 Pro 5G,49999,90,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8450, Octa Core, 3.25 GHz Processor",Memory Card Not Supported,Android v15,No,6.83, 1272 x 2800 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 50 MP Triple Rear , 50 MP Front Camera,6.2e+03, 80W Fast Charging
6,OPPO,Reno 14 5G,37999,88,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor",Memory Card Not Supported,Android v15,No,6.59, 1256 x 2760 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 50 MP Front Camera,6e+03, 80W Fast Charging
7,Samsung,Galaxy S24 Ultra,74999,92,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor",Memory Card Not Supported,Android v14,No,6.8, 1440 x 3120 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,200 MP Quad Rear , 12 MP Front Camera,5e+03, 45W Fast Charging
8,Samsung,Galaxy M36 5G,17499,78,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1380, Octa Core, 2.4 GHz Processor",Memory Card (Hybrid),Android v15,No,6.7, 1080 x 2340 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
9,Motorola,Edge 60 5G,26320,88,4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Dimensity 7400, Octa Core, 2.6 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.7, 1220 x 2712 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 10 MP Triple Rear , 50 MP Front Camera,5.5e+03, 68W Fast Charging
